SMALL_AREA,Clusters
47284004,2
47261002,3
47076003,2
47042007,5
47298005,2
47054021,5
47054005,2
47258021,2
47258014,2
47295004,1
047295007/047295008,5
47295002,2
47024005,5
47187007,5
47042009,5
47042010,5
47042011,2
47042008,2
47160002,1
47083003,1
47265004,2
47320005,2
47151002,6
47107021,4
47106017,3
47132084,2
47261004,4
47253018,6
47115006,3
47115007,2
47136007,3
47136006,3
47151014,6
47111001,3
47303003,2
47303005,2
47303010,2
47303008,5
47077018,3
47105013,5
47064021,3
47064026,4
47064025,5
047077001/01,3
47077007,6
47077008,5
47077017,3
47077010,3
47151012,3
47254006,5
47253009,3
47152008,3
47303012,5
47303014,2
47303015,2
47271018,4
47271017,5
47277015,2
47279003,4
47224003,3
47162002,3
47151004,3
047152010/047152013,5
47253012,4
47253007,5
47253028,3
47132069,4
47132072,5
47303004,5
47271001,6
47107004,5
47107014,5
47106011,3
47107011,4
47107027,3
47115004,3
47239004,5
47071002,3
47313006,5
47146006,5
47300003,5
47096004,4
47096007,5
47222002,7
47096014,7
47096017,3
47222011,7
47294011,5
47294010,5
47282003,5
47095006,3
47096001,3
47294009,5
47221017,3
47222009,5
47222005,5
47221008,5
47177005,5
47177007,3
47221018,3
47221019,3
47221016,5
47042016,3
47042005,7
47042004,5
47042013,5
47042001,6
47222001,5
47042003,5
47033006,3
47071003,5
47071005,6
47325005,3
47325004,6
47325006,5
47186009,3
47325010,5
47186007,3
47096002,3
47295006,5
47024006,5
47294002,6
47200008,1
47200009,5
47294004,7
47033008,4
47325001,7
47042002,7
47325007,5
47325002,7
47033013,3
47033010,6
47033014,3
47033015,6
47033016,4
047239015/01,4
48046003,6
48026001,5
47221015,5
47325003,7
47239013,3
47239010,4
47239009,4
47222007,5
47222004,6
47239012,3
48051010,5
48045001,7
48069001,5
47016047,3
48008004,5
48033009,5
48030002,5
48033007,5
48040004,5
48041004,4
48074002,5
48034003,6
48073001,5
48034007,5
48071003,5
48013005,4
48043002,3
48072006,5
48071001,5
48071004,5
48028005,7
48045003,7
48057002,7
48051005,6
47054007,5
47054018,5
47054006,2
47320001,3
48018006,7
48018003,7
48023011,2
48023002,4
48073003,5
48008001,5
48006005,5
48033003,5
48003005,5
48050005,5
48049002,6
48050004,6
48033011,5
48029005,5
48045004,7
48059003,5
48002007,5
48003006,5
48003003,5
48044008,5
48064003,5
48044003,5
48040002,4
48012008,7
48040001,4
48065008,5
48046012,6
47054017,5
48017003,7
48001003,5
48018005,4
48069003,2
48002001,5
48002003,5
48003001,5
47132046,4
47132048,4
48031002,5
048030004/01,7
48031001,4
48033010,5
48063005,5
48063002,5
47277017,3
48048009,5
48048007,5
48048005,4
48046013,5
48012002,7
48011004,6
48011003,6
48039014,6
47298010,6
48017001,7
48011002,6
