,GUID,SMALL_AREA,OBJECTID,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,GEOGID.x,Clusters
446,4c07d11d-fda9-851d-e053-ca3ca8c0ca7f,47221004,2451,IE05,Southern,IE053,South-West,CK,Cork County,18189,47221,Kinsale Rural,47221004,A047221004,2
447,4c07d11d-fdaa-851d-e053-ca3ca8c0ca7f,47221013,2452,IE05,Southern,IE053,South-West,CK,Cork County,18189,47221,Kinsale Rural,47221013,A047221013,4
448,4c07d11d-fdab-851d-e053-ca3ca8c0ca7f,47221012,2453,IE05,Southern,IE053,South-West,CK,Cork County,18189,47221,Kinsale Rural,47221012,A047221012,2
449,4c07d11d-fdac-851d-e053-ca3ca8c0ca7f,47221007,2454,IE05,Southern,IE053,South-West,CK,Cork County,18189,47221,Kinsale Rural,47221007,A047221007,1
450,4c07d11d-fdad-851d-e053-ca3ca8c0ca7f,47210001,2455,IE05,Southern,IE053,South-West,CK,Cork County,18187,47210,Kilmonoge,47210001,A047210001,2
451,4c07d11d-fdae-851d-e053-ca3ca8c0ca7f,47236001,2456,IE05,Southern,IE053,South-West,CK,Cork County,18192,47236,Leighmoney,47236001,A047236001,1
452,4c07d11d-fdaf-851d-e053-ca3ca8c0ca7f,47236002,2457,IE05,Southern,IE053,South-West,CK,Cork County,18192,47236,Leighmoney,47236002,A047236002,1
453,4c07d11d-fdb0-851d-e053-ca3ca8c0ca7f,47221001,2458,IE05,Southern,IE053,South-West,CK,Cork County,18189,47221,Kinsale Rural,47221001,A047221001,1
454,4c07d11d-fdb1-851d-e053-ca3ca8c0ca7f,47306003,2459,IE05,Southern,IE053,South-West,CK,Cork County,18196,47306,Templemichael,47306003,A047306003,1
455,4c07d11d-fdb2-851d-e053-ca3ca8c0ca7f,47306002,2460,IE05,Southern,IE053,South-West,CK,Cork County,18196,47306,Templemichael,47306002,A047306002,2
280,4c07d11d-fb71-851d-e053-ca3ca8c0ca7f,47068003,2461,IE05,Southern,IE053,South-West,CK,Cork County,18290,47068,Cléire,47068003,A047068003,2
281,4c07d11d-fb72-851d-e053-ca3ca8c0ca7f,47313003,2462,IE05,Southern,IE053,South-West,CK,Cork County,18307,47313,Tullagh,47313003,A047313003,2
282,4c07d11d-fb73-851d-e053-ca3ca8c0ca7f,47313002,2463,IE05,Southern,IE053,South-West,CK,Cork County,18307,47313,Tullagh,47313002,A047313002,1
283,4c07d11d-fb74-851d-e053-ca3ca8c0ca7f,47116005,2464,IE05,Southern,IE053,South-West,CK,Cork County,18049,47116,Coulagh,47116005,A047116005,2
284,4c07d11d-fb75-851d-e053-ca3ca8c0ca7f,047050002/047050003/047050004,2465,IE05,Southern,IE053,South-West,CK,Cork County,18048,47050,Bear,047050002/047050003/047050004,A047050002/047050003/047050004,2
285,4c07d11d-fb76-851d-e053-ca3ca8c0ca7f,47050001,2466,IE05,Southern,IE053,South-West,CK,Cork County,18048,47050,Bear,47050001,A047050001,2
286,4c07d11d-fb77-851d-e053-ca3ca8c0ca7f,47116002,2467,IE05,Southern,IE053,South-West,CK,Cork County,18049,47116,Coulagh,47116002,A047116002,1
287,4c07d11d-fb78-851d-e053-ca3ca8c0ca7f,47116001,2468,IE05,Southern,IE053,South-West,CK,Cork County,18049,47116,Coulagh,47116001,A047116001,1
288,4c07d11d-fb79-851d-e053-ca3ca8c0ca7f,47200004,2469,IE05,Southern,IE053,South-West,CK,Cork County,18052,47200,Killaconenagh,47200004,A047200004,2
289,4c07d11d-fb7a-851d-e053-ca3ca8c0ca7f,47188006,2470,IE05,Southern,IE053,South-West,CK,Cork County,18051,47188,Kilcatherine,47188006,A047188006,1
290,4c07d11d-fb7b-851d-e053-ca3ca8c0ca7f,47188004,2471,IE05,Southern,IE053,South-West,CK,Cork County,18051,47188,Kilcatherine,47188004,A047188004,2
307,4c07d11d-fbca-851d-e053-ca3ca8c0ca7f,47188003,2472,IE05,Southern,IE053,South-West,CK,Cork County,18051,47188,Kilcatherine,47188003,A047188003,1
308,4c07d11d-fbcb-851d-e053-ca3ca8c0ca7f,47241001,2473,IE05,Southern,IE053,South-West,CK,Cork County,18317,47241,Lowertown,47241001,A047241001,2
309,4c07d11d-fbcc-851d-e053-ca3ca8c0ca7f,47024003,2474,IE05,Southern,IE053,South-West,CK,Cork County,18310,47024,Ballydehob,47024003,A047024003,2
310,4c07d11d-fbcd-851d-e053-ca3ca8c0ca7f,047287002/047287003,2475,IE05,Southern,IE053,South-West,CK,Cork County,18044,47287,Seefin,047287002/047287003,A047287002/047287003,1
311,4c07d11d-fbce-851d-e053-ca3ca8c0ca7f,47147001,2476,IE05,Southern,IE053,South-West,CK,Cork County,18036,47147,Durrus East,47147001,A047147001,1
312,4c07d11d-fbcf-851d-e053-ca3ca8c0ca7f,047148002/047148003,2477,IE05,Southern,IE053,South-West,CK,Cork County,18037,47148,Durrus West,047148002/047148003,A047148002/047148003,2
313,4c07d11d-fbd0-851d-e053-ca3ca8c0ca7f,47148001,2478,IE05,Southern,IE053,South-West,CK,Cork County,18037,47148,Durrus West,47148001,A047148001,1
314,4c07d11d-fbd1-851d-e053-ca3ca8c0ca7f,47024002,2479,IE05,Southern,IE053,South-West,CK,Cork County,18310,47024,Ballydehob,47024002,A047024002,1
315,4c07d11d-fbd2-851d-e053-ca3ca8c0ca7f,047189002/047189003/047189004,2480,IE05,Southern,IE053,South-West,CK,Cork County,18316,47189,Kilcoe,047189002/047189003/047189004,A047189002/047189003/047189004,1
316,4c07d11d-fbd3-851d-e053-ca3ca8c0ca7f,47004005,2481,IE05,Southern,IE053,South-West,CK,Cork County,18287,47004,Aghadown South,47004005,A047004005,1
317,4c07d11d-fbd4-851d-e053-ca3ca8c0ca7f,47004004,2482,IE05,Southern,IE053,South-West,CK,Cork County,18287,47004,Aghadown South,47004004,A047004004,2
318,4c07d11d-fbd5-851d-e053-ca3ca8c0ca7f,47293004,2483,IE05,Southern,IE053,South-West,CK,Cork County,18306,47293,Skibbereen Rural,47293004,A047293004,1
319,4c07d11d-fbd6-851d-e053-ca3ca8c0ca7f,47293006,2484,IE05,Southern,IE053,South-West,CK,Cork County,18306,47293,Skibbereen Rural,47293006,A047293006,2
320,4c07d11d-fbd7-851d-e053-ca3ca8c0ca7f,47004003,2485,IE05,Southern,IE053,South-West,CK,Cork County,18287,47004,Aghadown South,47004003,A047004003,2
321,4c07d11d-fbd8-851d-e053-ca3ca8c0ca7f,47094002,2486,IE05,Southern,IE053,South-West,CK,Cork County,18294,47094,Cloghdonnell,47094002,A047094002,1
322,4c07d11d-fbd9-851d-e053-ca3ca8c0ca7f,47108001,2487,IE05,Southern,IE053,South-West,CK,Cork County,18311,47108,Coolagh,47108001,A047108001,1
323,4c07d11d-fbda-851d-e053-ca3ca8c0ca7f,47021001,2488,IE05,Southern,IE053,South-West,CK,Cork County,18309,47021,Ballybane,47021001,A047021001,2
324,4c07d11d-fbdb-851d-e053-ca3ca8c0ca7f,47147002,2489,IE05,Southern,IE053,South-West,CK,Cork County,18036,47147,Durrus East,47147002,A047147002,1
325,4c07d11d-fbdc-851d-e053-ca3ca8c0ca7f,47286001,2490,IE05,Southern,IE053,South-West,CK,Cork County,18043,47286,Scart,47286001,A047286001,1
326,4c07d11d-fbdd-851d-e053-ca3ca8c0ca7f,47204001,2491,IE05,Southern,IE053,South-West,CK,Cork County,18302,47204,Killeenleagh,47204001,A047204001,1
327,4c07d11d-fbde-851d-e053-ca3ca8c0ca7f,47204002,2492,IE05,Southern,IE053,South-West,CK,Cork County,18302,47204,Killeenleagh,47204002,A047204002,1
328,4c07d11d-fbdf-851d-e053-ca3ca8c0ca7f,047002003/047002004,2493,IE05,Southern,IE053,South-West,CK,Cork County,18047,47002,Adrigole,047002003/047002004,A047002003/047002004,2
329,4c07d11d-fbe0-851d-e053-ca3ca8c0ca7f,47002002,2494,IE05,Southern,IE053,South-West,CK,Cork County,18047,47002,Adrigole,47002002,A047002002,2
330,4c07d11d-fbe1-851d-e053-ca3ca8c0ca7f,047187004/047187008,2495,IE05,Southern,IE053,South-West,CK,Cork County,18041,47187,Kilcaskan,047187004/047187008,A047187004/047187008,5
331,4c07d11d-fbe2-851d-e053-ca3ca8c0ca7f,47187005,2496,IE05,Southern,IE053,South-West,CK,Cork County,18041,47187,Kilcaskan,47187005,A047187005,1
332,4c07d11d-fbe3-851d-e053-ca3ca8c0ca7f,47286002,2497,IE05,Southern,IE053,South-West,CK,Cork County,18043,47286,Scart,47286002,A047286002,1
333,4c07d11d-fbe4-851d-e053-ca3ca8c0ca7f,47165002,2498,IE05,Southern,IE053,South-West,CK,Cork County,18300,47165,Gortnascreeny,47165002,A047165002,1
334,4c07d11d-fbe5-851d-e053-ca3ca8c0ca7f,47251002,2499,IE05,Southern,IE053,South-West,CK,Cork County,18042,47251,Mealagh,47251002,A047251002,1
335,4c07d11d-fbe6-851d-e053-ca3ca8c0ca7f,47160005,2500,IE05,Southern,IE053,South-West,CK,Cork County,18039,47160,Glengarriff,47160005,A047160005,2
352,4c07d11d-fc44-851d-e053-ca3ca8c0ca7f,47160001,2501,IE05,Southern,IE053,South-West,CK,Cork County,18039,47160,Glengarriff,47160001,A047160001,1
353,4c07d11d-fc45-851d-e053-ca3ca8c0ca7f,47181002,2502,IE05,Southern,IE053,South-West,CK,Cork County,18040,47181,Kealkill,47181002,A047181002,1
354,4c07d11d-fc46-851d-e053-ca3ca8c0ca7f,047083004/047083005,2503,IE05,Southern,IE053,South-West,CK,Cork County,18293,47083,Castlehaven South,047083004/047083005,A047083004/047083005,1
